iter	Passed	Remaining
0	1	16332
1	2	14985
2	4	13906
3	5	13610
4	7	14322
5	8	14077
6	9	13851
7	11	14298
8	13	14599
9	14	14498
10	15	14351
11	17	14414
12	18	14592
13	20	14918
14	22	14786
15	23	14824
16	25	14776
17	27	14992
18	28	15134
19	30	15335
20	32	15417
21	34	15493
22	35	15519
23	37	15587
24	38	15530
25	40	15508
26	42	15563
27	43	15650
28	45	15666
29	47	15774
30	48	15692
31	50	15649
32	52	15712
33	53	15782
34	55	15856
35	57	15944
36	59	15906
37	60	15925
38	61	15815
39	63	15734
40	64	15680
41	66	15732
42	68	15763
43	69	15732
44	71	15845
45	73	15804
46	75	15924
47	76	15895
48	78	15938
49	79	15884
50	81	15913
51	83	15923
52	84	15918
53	86	15902
54	87	15866
55	89	15859
56	91	15913
57	92	15927
58	94	15893
59	95	15841
60	97	15881
61	99	15991
62	101	16021
63	103	16022
64	105	16063
65	106	16082
66	108	16065
67	109	16055
68	111	16043
69	112	16029
70	114	16032
71	116	16103
72	118	16113
73	119	16084
74	122	16145
75	123	16121
76	124	16076
77	126	16109
78	128	16134
79	130	16162
80	131	16154
81	134	16225
82	137	16450
83	139	16465
84	141	16508
85	143	16519
86	145	16547
87	147	16654
88	149	16691
89	151	16718
90	153	16678
91	154	16682
92	157	16761
93	159	16758
94	160	16736
95	162	16715
96	163	16696
97	164	16637
98	166	16628
99	167	16572
100	169	16577
101	170	16541
102	172	16586
103	174	16579
104	176	16588
105	177	16571
106	179	16583
107	181	16578
108	182	16538
109	184	16571
110	186	16592
111	188	16608
112	189	16619
113	191	16627
114	193	16624
115	194	16611
116	196	16611
117	198	16610
118	201	16707
119	202	16698
120	204	16700
121	206	16697
122	208	16703
123	210	16745
124	212	16761
125	214	16819
126	216	16846
127	218	16885
128	221	16911
129	222	16920
130	225	16954
131	226	16914
132	228	16923
133	229	16912
134	231	16920
135	232	16898
136	235	16935
137	237	16957
138	239	16955
139	241	16977
140	242	16959
141	244	16960
142	245	16942
143	247	16958
144	250	17009
145	251	16992
146	253	17016
147	255	17020
148	257	17015
149	258	17005
150	260	17001
151	262	16984
152	264	17021
153	266	17044
154	267	17014
155	269	17016
156	270	16980
157	272	16984
158	274	17011
159	276	16983
160	277	16970
161	279	16965
162	281	16995
163	283	16982
164	284	16975
165	286	16982
166	288	16970
167	290	17011
168	292	17030
169	294	17048
170	296	17043
171	298	17040
172	299	17004
173	300	16996
174	302	16997
175	304	17014
176	306	17000
177	307	16975
178	309	16980
179	311	16979
180	313	16988
181	314	16960
182	315	16950
183	317	16919
184	318	16909
185	320	16916
186	321	16883
187	324	16932
188	326	16937
189	328	16936
190	329	16941
191	331	16932
192	332	16910
193	334	16910
194	336	16921
195	338	16913
196	339	16907
197	340	16866
198	341	16832
199	343	16832
200	345	16847
